case,window,horizon,pool,year,half,months,short_internal_excess_bps,next_internal_excess_bps,short_rank_ic,next_rank_ic,short_positive_months,next_positive_months
w1001_1010_h1h,10:01-10:10,1h,pool_L,2022,H2,6,5.111612,1.3109788076108824,0.0356210231607691,0.0098866634236248,4,4
w1001_1010_h1h,10:01-10:10,1h,pool_L,2023,H1,6,10.11234,23.3761630236202,0.0368784536863792,0.0173922125786828,5,5
w1001_1010_h1h,10:01-10:10,1h,pool_L,2023,H2,6,6.058193,-5.8550839018777125,0.0244219728686233,0.0014652512283491,6,1
w1001_1010_h1h,10:01-10:10,1h,pool_L,2024,H1,6,5.608053,16.852684468343462,0.0542126790431185,0.0353656918404101,5,4
w1001_1010_h1h,10:01-10:10,1h,pool_L,2024,H2,6,7.2678075,0.957643969214898,0.0518974057879933,0.006063926512182,5,3
w1001_1010_h1h,10:01-10:10,1h,pool_L,2025,H1,6,8.036821,9.241447289890791,0.0405062995966376,0.0148010860248576,5,4
w1001_1010_h1h,10:01-10:10,1h,pool_L,2025,H2,6,5.686832,14.856368341781618,0.0264301149803858,-0.0011181987188982,5,5
w1001_1010_hclose,10:01-10:10,close,universe,2022,H1,6,29.554642,-6.300953345534304,0.0471864398036425,0.0299607008658625,6,2
w1001_1010_hclose,10:01-10:10,close,universe,2022,H2,6,20.657568,-9.931481456555725,0.0402874009539798,0.0176919377037612,6,1
w1001_1010_hclose,10:01-10:10,close,universe,2023,H1,6,25.25329,-0.1607176145700366,0.0433271647441694,0.0258620649817236,6,3
w1001_1010_hclose,10:01-10:10,close,universe,2023,H2,6,22.589554,-16.576756096222198,0.0286372339042943,0.0136365886846158,6,1
w1001_1010_hclose,10:01-10:10,close,universe,2024,H1,6,28.34973,-7.8489456982585395,0.0527740320017277,0.0371506441823094,5,1
w1001_1010_hclose,10:01-10:10,close,universe,2024,H2,6,17.508656,-26.465462356868827,0.0498230294586923,0.0190085453651546,5,1
w1001_1010_hclose,10:01-10:10,close,universe,2025,H1,6,22.713873,-11.93537708934162,0.040087675905018,0.0208143387226897,6,2
w1001_1010_hclose,10:01-10:10,close,universe,2025,H2,6,16.142431,-6.624734987009364,0.028022513551997,0.0092668938353481,5,4
w1001_1010_hclose,10:01-10:10,close,pool_L,2022,H1,6,17.999876,18.64402081098148,0.0401067059179311,0.0218821768833995,6,4
w1001_1010_hclose,10:01-10:10,close,pool_L,2022,H2,6,10.999419,4.001395683240333,0.0307775650731717,0.0108452701127444,5,4
w1001_1010_hclose,10:01-10:10,close,pool_L,2023,H1,6,19.910238,20.61647496151905,0.0355961451524416,0.0209078344568485,6,5
w1001_1010_hclose,10:01-10:10,close,pool_L,2023,H2,6,11.480775,1.5455443565228169,0.017514653327503,0.0055600222423878,5,5
w1001_1010_hclose,10:01-10:10,close,pool_L,2024,H1,6,18.143343,12.804496639130477,0.0481404206480826,0.0300192822123223,5,3
w1001_1010_hclose,10:01-10:10,close,pool_L,2024,H2,6,12.9471245,3.187895777419208,0.0409058079161366,0.0118152858605187,5,3
w1001_1010_hclose,10:01-10:10,close,pool_L,2025,H1,6,15.372941,19.64024791498751,0.0348102629449354,0.0186382547772839,5,5
w1001_1010_hclose,10:01-10:10,close,pool_L,2025,H2,6,12.073163,9.787812463039987,0.0234257340934253,0.0054979363587268,5,4
w1401_1410_h1m,14:01-14:10,1m,universe,2022,H1,6,14.440772,-28.459716048038107,0.3681043715275402,0.0143925640215997,6,0
w1401_1410_h1m,14:01-14:10,1m,universe,2022,H2,6,11.992168,-18.818902539949608,0.3862642777585996,0.0127865023802157,6,0
w1401_1410_h1m,14:01-14:10,1m,universe,2023,H1,6,10.803105,-8.317154447236183,0.3855033083251406,0.0244438086847343,6,2
w1401_1410_h1m,14:01-14:10,1m,universe,2023,H2,6,10.379374,-33.114696400751555,0.389181909574545,0.0095804302746166,6,0
